	NC_028300	NC_015337	NC_016709	NC_026088	NC_024110	NC_027658	NC_023455	NC_010299	NC_006533	NC_026696	NC_006364	NC_005035	NC_022821	NC_024862	NC_030254	NC_004701	NC_004377	NC_014404	NC_022841	NC_007012	NC_028537	NC_003033	NC_008753	NC_025516	NC_021443	NC_015544	NC_000890	NC_004399	NC_008417	NC_001892	NC_003182	NC_007629	NC_011137	NC_002980	NC_029480	NC_004449	NC_027083	NC_027521	NC_000845	NC_026287	NC_021768	NC_000860	NC_015823	NC_024269	NC_005796
NC_028300	0.1222	1.8965	1.918	1.651	1.9489999999999998	1.7845	1.8769999999999998	1.6785	1.864	1.8695	1.818	1.5394999999999999	1.88	1.8984999999999999	1.908	1.8925	1.9505	1.941	1.899	1.8559999999999999	1.915	1.62	1.492	1.342	1.8925	1.91	1.9245	1.9035	1.468	1.7005	1.9045	1.585	1.761	1.895	1.883	1.9235	0.71255	1.918	1.4695	1.932	1.875	1.9245	1.8695	1.9235	1.923
NC_015337	1.8965	0.123	1.6789999999999998	1.9064999999999999	1.8285	1.8980000000000001	1.8475000000000001	1.901	1.693	1.807	1.9300000000000002	1.8585	1.8275000000000001	1.7934999999999999	1.798	1.6625	1.817	1.5605	1.8235000000000001	1.682	1.8045	1.8695	1.92	1.9209999999999998	1.8014999999999999	1.7515	1.8239999999999998	1.615	1.9060000000000001	1.9275	1.6509999999999998	1.9024999999999999	1.9	1.57	1.8005	1.755	1.9035	1.802	1.8605	1.828	1.819	1.604	1.7265000000000001	1.7934999999999999	1.6965
NC_016709	1.918	1.6789999999999998	0.1224	1.9205	1.8065	1.928	1.8105	1.9024999999999999	1.6035	1.8325	1.9335	1.9045	1.824	1.7925	1.7785	1.6265	1.8824999999999998	1.7035	1.786	1.7360000000000002	1.775	1.883	1.92	1.9205	1.7959999999999998	1.77	1.8319999999999999	1.741	1.9115	1.934	1.7435	1.9209999999999998	1.9465	1.649	1.8170000000000002	1.7305000000000001	1.917	1.8330000000000002	1.918	1.811	1.828	1.6305	1.761	1.835	1.7055
NC_026088	1.651	1.9064999999999999	1.9205	0.1211	1.9129999999999998	1.796	1.885	1.5935000000000001	1.8835	1.9315	1.876	1.697	1.8835	1.9355	1.9184999999999999	1.897	1.971	1.9245	1.9340000000000002	1.9295	1.9104999999999999	1.687	1.735	1.6965	1.9115	1.8944999999999999	1.9355	1.9035	1.686	1.718	1.9255	1.721	1.7915	1.9235	1.9035	1.919	1.7095	1.9515	1.67	1.9335	1.935	1.934	1.94	1.943	1.9375
NC_024110	1.9489999999999998	1.8285	1.8065	1.9129999999999998	0.1159	1.9340000000000002	1.5755	1.9255	1.7725	1.4620000000000002	1.9460000000000002	1.932	1.653	1.4809999999999999	1.6295000000000002	1.8465	1.9175	1.82	1.6219999999999999	1.7955	1.264	1.9129999999999998	1.9585	1.934	1.4765000000000001	1.82	1.5455	1.7839999999999998	1.9300000000000002	1.933	1.827	1.904	1.9425	1.786	1.5885	1.8719999999999999	1.914	1.6869999999999998	1.8904999999999998	1.4865	1.5085	1.83	1.8045	1.5445	1.7525
NC_027658	1.7845	1.8980000000000001	1.928	1.796	1.9340000000000002	0.1227	1.9180000000000001	1.7879999999999998	1.907	1.9335	1.8889999999999998	1.786	1.939	1.9275	1.9489999999999998	1.927	1.9689999999999999	1.9405000000000001	1.92	1.93	1.9525000000000001	1.7635	1.8250000000000002	1.7635	1.9144999999999999	1.923	1.9405000000000001	1.9175	1.8195000000000001	1.842	1.916	1.796	1.7225000000000001	1.9365	1.9255	1.9565000000000001	1.804	1.9275	1.7035	1.9115	1.925	1.9485000000000001	1.9165	1.9405000000000001	1.935
NC_023455	1.8769999999999998	1.8475000000000001	1.8105	1.885	1.5755	1.9180000000000001	0.1214	1.9184999999999999	1.8085	1.2765	1.9235	1.8725	1.5525	1.392	1.5645	1.8650000000000002	1.89	1.846	1.5785	1.8599999999999999	1.395	1.89	1.9315	1.8955	1.3375	1.8305	1.366	1.81	1.9264999999999999	1.8775	1.802	1.87	1.92	1.8705	1.0225	1.8679999999999999	1.8925	1.6604999999999999	1.8195000000000001	1.3155000000000001	1.3435000000000001	1.8730000000000002	1.7965	1.4575	1.793
NC_010299	1.6785	1.901	1.9024999999999999	1.5935000000000001	1.9255	1.7879999999999998	1.9184999999999999	0.1204	1.8895	1.9465	1.85	1.721	1.92	1.9224999999999999	1.904	1.9045	1.9660000000000002	1.9144999999999999	1.915	1.9215	1.9475	1.677	1.7595	1.6684999999999999	1.9135	1.9340000000000002	1.9385	1.8765	1.6829999999999998	1.764	1.903	1.7155	1.7665	1.93	1.9175	1.933	1.6635	1.9344999999999999	1.6115	1.928	1.9315	1.9215	1.903	1.9104999999999999	1.932
NC_006533	1.864	1.693	1.6035	1.8835	1.7725	1.907	1.8085	1.8895	0.1228	1.7755	1.9465	1.8965	1.7605	1.7595	1.7625	1.7000000000000002	1.87	1.6985000000000001	1.7965	1.653	1.7799999999999998	1.8465	1.939	1.846	1.7665	1.7429999999999999	1.8025	1.684	1.88	1.8775	1.7705	1.87	1.9215	1.7240000000000002	1.7759999999999998	1.7999999999999998	1.9085	1.788	1.827	1.7675	1.7825	1.7280000000000002	1.702	1.807	1.491
NC_026696	1.8695	1.807	1.8325	1.9315	1.4620000000000002	1.9335	1.2765	1.9465	1.7755	0.1221	1.9064999999999999	1.8665	1.563	0.60805	1.509	1.8090000000000002	1.8795	1.8105	1.57	1.8165	1.3475000000000001	1.9304999999999999	1.9245	1.8925	1.2645	1.7625	0.8823000000000001	1.7854999999999999	1.8915	1.8915	1.8399999999999999	1.928	1.9224999999999999	1.7839999999999998	1.4024999999999999	1.7959999999999998	1.8815	1.649	1.8780000000000001	0.62245	0.7121999999999999	1.8565	1.7810000000000001	1.3375	1.8119999999999998
NC_006364	1.818	1.9300000000000002	1.9335	1.876	1.9460000000000002	1.8889999999999998	1.9235	1.85	1.9465	1.9064999999999999	0.1217	1.807	1.9135	1.902	1.9209999999999998	1.923	1.9665	1.9395	1.952	1.916	1.963	1.8860000000000001	1.8415	1.854	1.9125	1.9385	1.9075	1.929	1.905	1.8475000000000001	1.9049999999999998	1.8285	1.8769999999999998	1.9104999999999999	1.9205	1.93	1.8775	1.958	1.8079999999999998	1.9255	1.929	1.9565000000000001	1.9495	1.8824999999999998	1.9495
NC_005035	1.5394999999999999	1.8585	1.9045	1.697	1.932	1.786	1.8725	1.721	1.8965	1.8665	1.807	0.1204	1.871	1.88	1.9115	1.9035	1.9435	1.942	1.9325	1.8975	1.9085	1.625	1.664	1.553	1.9095	1.858	1.863	1.927	1.6075	1.7045	1.931	1.6515	1.802	1.9409999999999998	1.902	1.911	1.529	1.9435	1.499	1.8805	1.887	1.9045	1.8925	1.9135	1.934
NC_022821	1.88	1.8275000000000001	1.824	1.8835	1.653	1.939	1.5525	1.92	1.7605	1.563	1.9135	1.871	0.1224	1.537	1.0365	1.8079999999999998	1.895	1.8639999999999999	1.121	1.7614999999999998	1.5955	1.9005	1.9215	1.919	1.524	1.83	1.598	1.782	1.933	1.927	1.826	1.9165	1.9395	1.8445	1.5739999999999998	1.8465	1.916	1.536	1.886	1.5594999999999999	1.535	1.8235000000000001	1.7999999999999998	1.5445	1.814
NC_024862	1.8984999999999999	1.7934999999999999	1.7925	1.9355	1.4809999999999999	1.9275	1.392	1.9224999999999999	1.7595	0.60805	1.902	1.88	1.537	0.1221	1.5805	1.794	1.879	1.841	1.5870000000000002	1.833	1.338	1.9015	1.9175	1.8605	1.2375	1.7875	0.8513	1.7599999999999998	1.891	1.9104999999999999	1.846	1.9155	1.897	1.8325	1.375	1.8185	1.883	1.5835	1.8904999999999998	0.62565	0.6907	1.834	1.742	1.3295	1.7730000000000001
NC_030254	1.908	1.798	1.7785	1.9184999999999999	1.6295000000000002	1.9489999999999998	1.5645	1.904	1.7625	1.509	1.9209999999999998	1.9115	1.0365	1.5805	0.1224	1.8439999999999999	1.885	1.8215	1.09	1.8065	1.5394999999999999	1.891	1.9295	1.9064999999999999	1.5835	1.832	1.606	1.8235000000000001	1.912	1.9155	1.8175	1.8980000000000001	1.9325	1.8405	1.5339999999999998	1.8435000000000001	1.9089999999999998	1.581	1.8885	1.546	1.5630000000000002	1.803	1.833	1.6684999999999999	1.805
NC_004701	1.8925	1.6625	1.6265	1.897	1.8465	1.927	1.8650000000000002	1.9045	1.7000000000000002	1.8090000000000002	1.923	1.9035	1.8079999999999998	1.794	1.8439999999999999	0.1226	1.8665	1.7355	1.8039999999999998	1.7475	1.8275000000000001	1.9085	1.9220000000000002	1.915	1.8375	1.7125	1.8054999999999999	1.6705	1.924	1.948	1.7245	1.9275	1.8955	1.7045	1.8595000000000002	1.7265000000000001	1.9220000000000002	1.8039999999999998	1.8690000000000002	1.8475000000000001	1.802	1.621	1.5205	1.7765	1.659
NC_004377	1.9505	1.817	1.8824999999999998	1.971	1.9175	1.9689999999999999	1.89	1.9660000000000002	1.87	1.8795	1.9665	1.9435	1.895	1.879	1.885	1.8665	0.1219	1.85	1.904	1.879	1.882	1.951	1.9695	1.9515	1.883	1.912	1.8679999999999999	1.8185	1.957	1.955	1.858	1.926	1.959	1.8795	1.871	1.7080000000000002	1.95	1.8969999999999998	1.9465	1.8675000000000002	1.8809999999999998	1.846	1.852	1.8805	1.8965
NC_014404	1.941	1.5605	1.7035	1.9245	1.82	1.9405000000000001	1.846	1.9144999999999999	1.6985000000000001	1.8105	1.9395	1.942	1.8639999999999999	1.841	1.8215	1.7355	1.85	0.1223	1.794	1.7825	1.8265	1.889	1.94	1.915	1.7959999999999998	1.759	1.8210000000000002	1.629	1.8904999999999998	1.9104999999999999	1.633	1.8495	1.918	1.6675	1.8285	1.7175	1.9304999999999999	1.8519999999999999	1.9184999999999999	1.819	1.838	1.695	1.6535	1.8145	1.6775
NC_022841	1.899	1.8235000000000001	1.786	1.9340000000000002	1.6219999999999999	1.92	1.5785	1.915	1.7965	1.57	1.952	1.9325	1.121	1.5870000000000002	1.09	1.8039999999999998	1.904	1.794	0.1221	1.8094999999999999	1.5145	1.864	1.947	1.9024999999999999	1.5185	1.8345	1.5995	1.8175	1.897	1.9180000000000001	1.8365	1.8559999999999999	1.959	1.8475000000000001	1.642	1.874	1.9035	1.57	1.8765	1.5845	1.588	1.7965	1.8094999999999999	1.575	1.7894999999999999
NC_007012	1.8559999999999999	1.682	1.7360000000000002	1.9295	1.7955	1.93	1.8599999999999999	1.9215	1.653	1.8165	1.916	1.8975	1.7614999999999998	1.833	1.8065	1.7475	1.879	1.7825	1.8094999999999999	0.1216	1.906	1.89	1.939	1.8625	1.7945	1.818	1.8929999999999998	1.733	1.8860000000000001	1.949	1.768	1.912	1.892	1.7045	1.8079999999999998	1.8525	1.8665	1.8255	1.8559999999999999	1.8410000000000002	1.843	1.7905	1.699	1.8515000000000001	1.6585
NC_028537	1.915	1.8045	1.775	1.9104999999999999	1.264	1.9525000000000001	1.395	1.9475	1.7799999999999998	1.3475000000000001	1.963	1.9085	1.5955	1.338	1.5394999999999999	1.8275000000000001	1.882	1.8265	1.5145	1.906	0.1227	1.9425	1.9475	1.93	1.29	1.81	1.3290000000000002	1.8265	1.9675	1.931	1.8435000000000001	1.9195	1.969	1.7995	1.4695	1.8085	1.9175	1.6	1.8915	1.3615	1.4355	1.7759999999999998	1.7799999999999998	1.3505	1.7465000000000002
NC_003033	1.62	1.8695	1.883	1.687	1.9129999999999998	1.7635	1.89	1.677	1.8465	1.9304999999999999	1.8860000000000001	1.625	1.9005	1.9015	1.891	1.9085	1.951	1.889	1.864	1.89	1.9425	0.1221	1.718	1.6655	1.9325	1.9115	1.931	1.891	1.693	1.7275	1.9075	1.7269999999999999	1.7654999999999998	1.909	1.9184999999999999	1.92	1.5915	1.9235	1.5825	1.934	1.9089999999999998	1.915	1.916	1.9295	1.88
NC_008753	1.492	1.92	1.92	1.735	1.9585	1.8250000000000002	1.9315	1.7595	1.939	1.9245	1.8415	1.664	1.9215	1.9175	1.9295	1.9220000000000002	1.9695	1.94	1.947	1.939	1.9475	1.718	0.1233	1.3940000000000001	1.9020000000000001	1.93	1.9395	1.9165	1.4085	1.7814999999999999	1.969	1.7315	1.8275000000000001	1.927	1.9184999999999999	1.945	1.427	1.904	1.553	1.9089999999999998	1.936	1.9475	1.9565000000000001	1.924	1.9515
NC_025516	1.342	1.9209999999999998	1.9205	1.6965	1.934	1.7635	1.8955	1.6684999999999999	1.846	1.8925	1.854	1.553	1.919	1.8605	1.9064999999999999	1.915	1.9515	1.915	1.9024999999999999	1.8625	1.93	1.6655	1.3940000000000001	0.1224	1.8849999999999998	1.8935	1.8864999999999998	1.951	1.354	1.7280000000000002	1.8935	1.5885	1.7415	1.915	1.8675000000000002	1.9405000000000001	1.3450000000000002	1.93	1.499	1.859	1.9024999999999999	1.9365	1.925	1.8984999999999999	1.9205
NC_021443	1.8925	1.8014999999999999	1.7959999999999998	1.9115	1.4765000000000001	1.9144999999999999	1.3375	1.9135	1.7665	1.2645	1.9125	1.9095	1.524	1.2375	1.5835	1.8375	1.883	1.7959999999999998	1.5185	1.7945	1.29	1.9325	1.9020000000000001	1.8849999999999998	0.1225	1.827	1.2485	1.812	1.9245	1.9184999999999999	1.8345	1.899	1.9224999999999999	1.811	1.3885	1.825	1.9125	1.6705	1.8835	1.2165	1.3039999999999998	1.8155000000000001	1.8805	1.0205	1.799
NC_015544	1.91	1.7515	1.77	1.8944999999999999	1.82	1.923	1.8305	1.9340000000000002	1.7429999999999999	1.7625	1.9385	1.858	1.83	1.7875	1.832	1.7125	1.912	1.759	1.8345	1.818	1.81	1.9115	1.93	1.8935	1.827	0.1214	1.7565	1.7215	1.8855	1.9115	1.7970000000000002	1.895	1.951	1.7565	1.8130000000000002	1.815	1.9125	1.8490000000000002	1.907	1.783	1.7865	1.7355	1.69	1.8315000000000001	1.7469999999999999
NC_000890	1.9245	1.8239999999999998	1.8319999999999999	1.9355	1.5455	1.9405000000000001	1.366	1.9385	1.8025	0.8823000000000001	1.9075	1.863	1.598	0.8513	1.606	1.8054999999999999	1.8679999999999999	1.8210000000000002	1.5995	1.8929999999999998	1.3290000000000002	1.931	1.9395	1.8864999999999998	1.2485	1.7565	0.1231	1.7985	1.943	1.9245	1.8679999999999999	1.9285	1.904	1.8570000000000002	1.4625	1.77	1.9289999999999998	1.596	1.8875	0.8762000000000001	0.9114	1.8625	1.7734999999999999	1.318	1.7215
NC_004399	1.9035	1.615	1.741	1.9035	1.7839999999999998	1.9175	1.81	1.8765	1.684	1.7854999999999999	1.929	1.927	1.782	1.7599999999999998	1.8235000000000001	1.6705	1.8185	1.629	1.8175	1.733	1.8265	1.891	1.9165	1.951	1.812	1.7215	1.7985	0.1223	1.9175	1.9595	1.6715	1.9140000000000001	1.931	1.6115	1.85	1.607	1.8860000000000001	1.743	1.8885	1.7875	1.8125	1.6495	1.6895	1.7555	1.6735
NC_008417	1.468	1.9060000000000001	1.9115	1.686	1.9300000000000002	1.8195000000000001	1.9264999999999999	1.6829999999999998	1.88	1.8915	1.905	1.6075	1.933	1.891	1.912	1.924	1.957	1.8904999999999998	1.897	1.8860000000000001	1.9675	1.693	1.4085	1.354	1.9245	1.8855	1.943	1.9175	0.1206	1.7755	1.962	1.6349999999999998	1.778	1.915	1.913	1.912	1.4515	1.8965	1.511	1.8975	1.9255	1.9125	1.9165	1.928	1.926
NC_001892	1.7005	1.9275	1.934	1.718	1.933	1.842	1.8775	1.764	1.8775	1.8915	1.8475000000000001	1.7045	1.927	1.9104999999999999	1.9155	1.948	1.955	1.9104999999999999	1.9180000000000001	1.949	1.931	1.7275	1.7814999999999999	1.7280000000000002	1.9184999999999999	1.9115	1.9245	1.9595	1.7755	0.1229	1.942	1.7445	1.8399999999999999	1.932	1.8805	1.9340000000000002	1.7799999999999998	1.9395	1.7475	1.903	1.892	1.9235	1.94	1.9215	1.9224999999999999
NC_003182	1.9045	1.6509999999999998	1.7435	1.9255	1.827	1.916	1.802	1.903	1.7705	1.8399999999999999	1.9049999999999998	1.931	1.826	1.846	1.8175	1.7245	1.858	1.633	1.8365	1.768	1.8435000000000001	1.9075	1.969	1.8935	1.8345	1.7970000000000002	1.8679999999999999	1.6715	1.962	1.942	0.1213	1.9085	1.952	1.7435	1.8585	1.74	1.88	1.8045	1.8845	1.847	1.8439999999999999	1.751	1.702	1.8575	1.8215
NC_007629	1.585	1.9024999999999999	1.9209999999999998	1.721	1.904	1.796	1.87	1.7155	1.87	1.928	1.8285	1.6515	1.9165	1.9155	1.8980000000000001	1.9275	1.926	1.8495	1.8559999999999999	1.912	1.9195	1.7269999999999999	1.7315	1.5885	1.899	1.895	1.9285	1.9140000000000001	1.6349999999999998	1.7445	1.9085	0.123	1.7574999999999998	1.9205	1.868	1.9035	1.623	1.9264999999999999	1.5105	1.9165	1.906	1.9024999999999999	1.9064999999999999	1.8735	1.9015
NC_011137	1.761	1.9	1.9465	1.7915	1.9425	1.7225000000000001	1.92	1.7665	1.9215	1.9224999999999999	1.8769999999999998	1.802	1.9395	1.897	1.9325	1.8955	1.959	1.918	1.959	1.892	1.969	1.7654999999999998	1.8275000000000001	1.7415	1.9224999999999999	1.951	1.904	1.931	1.778	1.8399999999999999	1.952	1.7574999999999998	0.1227	1.9195	1.894	1.969	1.7375	1.9415	1.705	1.912	1.8975	1.944	1.936	1.931	1.9020000000000001
NC_002980	1.895	1.57	1.649	1.9235	1.786	1.9365	1.8705	1.93	1.7240000000000002	1.7839999999999998	1.9104999999999999	1.9409999999999998	1.8445	1.8325	1.8405	1.7045	1.8795	1.6675	1.8475000000000001	1.7045	1.7995	1.909	1.927	1.915	1.811	1.7565	1.8570000000000002	1.6115	1.915	1.932	1.7435	1.9205	1.9195	0.1226	1.85	1.6965	1.931	1.8265	1.9285	1.8595000000000002	1.8135	0.82655	1.6219999999999999	1.838	1.5885
NC_029480	1.883	1.8005	1.8170000000000002	1.9035	1.5885	1.9255	1.0225	1.9175	1.7759999999999998	1.4024999999999999	1.9205	1.902	1.5739999999999998	1.375	1.5339999999999998	1.8595000000000002	1.871	1.8285	1.642	1.8079999999999998	1.4695	1.9184999999999999	1.9184999999999999	1.8675000000000002	1.3885	1.8130000000000002	1.4625	1.85	1.913	1.8805	1.8585	1.868	1.894	1.85	0.1225	1.851	1.8935	1.72	1.8935	1.3765	1.3915	1.8435000000000001	1.8365	1.5265	1.793
NC_004449	1.9235	1.755	1.7305000000000001	1.919	1.8719999999999999	1.9565000000000001	1.8679999999999999	1.933	1.7999999999999998	1.7959999999999998	1.93	1.911	1.8465	1.8185	1.8435000000000001	1.7265000000000001	1.7080000000000002	1.7175	1.874	1.8525	1.8085	1.92	1.945	1.9405000000000001	1.825	1.815	1.77	1.607	1.912	1.9340000000000002	1.74	1.9035	1.969	1.6965	1.851	0.1231	1.9355	1.818	1.9095	1.842	1.8285	1.709	1.7530000000000001	1.8535	1.738
NC_027083	0.71255	1.9035	1.917	1.7095	1.914	1.804	1.8925	1.6635	1.9085	1.8815	1.8775	1.529	1.916	1.883	1.9089999999999998	1.9220000000000002	1.95	1.9304999999999999	1.9035	1.8665	1.9175	1.5915	1.427	1.3450000000000002	1.9125	1.9125	1.9289999999999998	1.8860000000000001	1.4515	1.7799999999999998	1.88	1.623	1.7375	1.931	1.8935	1.9355	0.1216	1.8855	1.45	1.8795	1.899	1.896	1.9144999999999999	1.9005	1.91
NC_027521	1.918	1.802	1.8330000000000002	1.9515	1.6869999999999998	1.9275	1.6604999999999999	1.9344999999999999	1.788	1.649	1.958	1.9435	1.536	1.5835	1.581	1.8039999999999998	1.8969999999999998	1.8519999999999999	1.57	1.8255	1.6	1.9235	1.904	1.93	1.6705	1.8490000000000002	1.596	1.743	1.8965	1.9395	1.8045	1.9264999999999999	1.9415	1.8265	1.72	1.818	1.8855	0.1221	1.8944999999999999	1.6244999999999998	1.6349999999999998	1.8505	1.7865	1.6709999999999998	1.7919999999999998
NC_000845	1.4695	1.8605	1.918	1.67	1.8904999999999998	1.7035	1.8195000000000001	1.6115	1.827	1.8780000000000001	1.8079999999999998	1.499	1.886	1.8904999999999998	1.8885	1.8690000000000002	1.9465	1.9184999999999999	1.8765	1.8559999999999999	1.8915	1.5825	1.553	1.499	1.8835	1.907	1.8875	1.8885	1.511	1.7475	1.8845	1.5105	1.705	1.9285	1.8935	1.9095	1.45	1.8944999999999999	0.1209	1.8980000000000001	1.904	1.925	1.8735	1.9	1.9169999999999998
NC_026287	1.932	1.828	1.811	1.9335	1.4865	1.9115	1.3155000000000001	1.928	1.7675	0.62245	1.9255	1.8805	1.5594999999999999	0.62565	1.546	1.8475000000000001	1.8675000000000002	1.819	1.5845	1.8410000000000002	1.3615	1.934	1.9089999999999998	1.859	1.2165	1.783	0.8762000000000001	1.7875	1.8975	1.903	1.847	1.9165	1.912	1.8595000000000002	1.3765	1.842	1.8795	1.6244999999999998	1.8980000000000001	0.1226	0.7286	1.8475000000000001	1.7745	1.3045	1.8005
NC_021768	1.875	1.819	1.828	1.935	1.5085	1.925	1.3435000000000001	1.9315	1.7825	0.7121999999999999	1.929	1.887	1.535	0.6907	1.5630000000000002	1.802	1.8809999999999998	1.838	1.588	1.843	1.4355	1.9089999999999998	1.936	1.9024999999999999	1.3039999999999998	1.7865	0.9114	1.8125	1.9255	1.892	1.8439999999999999	1.906	1.8975	1.8135	1.3915	1.8285	1.899	1.6349999999999998	1.904	0.7286	0.1226	1.863	1.7835	1.3875	1.8025
NC_000860	1.9245	1.604	1.6305	1.934	1.83	1.9485000000000001	1.8730000000000002	1.9215	1.7280000000000002	1.8565	1.9565000000000001	1.9045	1.8235000000000001	1.834	1.803	1.621	1.846	1.695	1.7965	1.7905	1.7759999999999998	1.915	1.9475	1.9365	1.8155000000000001	1.7355	1.8625	1.6495	1.9125	1.9235	1.751	1.9024999999999999	1.944	0.82655	1.8435000000000001	1.709	1.896	1.8505	1.925	1.8475000000000001	1.863	0.1227	1.569	1.8094999999999999	1.6225
NC_015823	1.8695	1.7265000000000001	1.761	1.94	1.8045	1.9165	1.7965	1.903	1.702	1.7810000000000001	1.9495	1.8925	1.7999999999999998	1.742	1.833	1.5205	1.852	1.6535	1.8094999999999999	1.699	1.7799999999999998	1.916	1.9565000000000001	1.925	1.8805	1.69	1.7734999999999999	1.6895	1.9165	1.94	1.702	1.9064999999999999	1.936	1.6219999999999999	1.8365	1.7530000000000001	1.9144999999999999	1.7865	1.8735	1.7745	1.7835	1.569	0.1226	1.7734999999999999	1.6595
